No.;Tanggal Diterima DPP;No. Agenda;Kode unit kerja pengendali;Unit Kerja;Kode End User;End User;Nomor Surat End User;Tanggal Surat End User;Hal;Kode PPK;Nama PPK;Nomor Surat PPK;Tanggal DPP;Hal PPK;Nama Paket PBJ;Pagu Anggaran (Non Aktif);Pagu Anggaran (Aktif);HPS;Kode MAK;No. MAK;Uraian MAK (Induk);Uraian MAK (Rinci);Pokja Belanja Modal;Pokja Belanja OPRS;Ka.ULP;Keterangan Tambahan (Apabila Ada)
1;20-Nov-24;538;A36;TRT;A36;TRT;KR.01.01/D.XII.5.2/1215/2024;5-Nov-24;Pengadaan Jasa Keamanan RSK Dharmais Tahun Anggaran 2025 (Kontrak Payung s/d tahun 2026);PPK3;PPK SDM dan Gaji;BJ.01.01/D.XII.9.3/2709/2024;19-Nov-24;Pengadaan Jasa Keamanan TA. 2025;Pengadaan Jasa Keamanan TA. 2025;;6,876,713,444;6,876,713,444;B24;6388.CCB.001.051.E.525119;Belanja Penyedia Barang dan Jasa;Belanja Jasa Keamanan;;1;1;Selesai dilaporkan
2;22-Nov-24;544;A39;IGZ;A39;IGZ;KN.01.03/D.XII.1.18/463/2024;28-Oct-24;Permohonan Pengesahan Kerangka Acuan Kerja (KAK) Pengadaan Jasa Pramusaji dan Pemasak Tahun 2025;PPK3;PPK SDM dan Gaji;BJ.01.01/D.XII.9.3/2722/2024;21-Nov-24;Pengadaan Jasa Pelayanan Pramusaji dan Pemasak TA. 2025;Pengadaan Jasa Pelayanan Pramusaji dan Pemasak TA. 2025;;8,016,678,186;7,069,476,827;B25;6388.CCB.001.051.E.525119;Belanja Penyedia Barang dan Jasa;Belanja Pramusaji;;1;1;Selesai dilaporkan
3;22-Nov-24;545;A41;IKL;A41;IKL;KU.03.07/D.XII.5.3/458/2024;31-Oct-24;Usulan Pra-Dipa Pengadaan Jasa Pelayanan Kebersihan Tahun 2025;PPK3;PPK SDM dan Gaji;BJ.01.01/D.XII.9.3/2723/2024;21-Nov-24;Pengadaan Jasa Pelayanan Kebersihan TA. 2025;Pengadaan Jasa Pelayanan Kebersihan TA. 2025;;16,832,035,648;16,560,516,982;B09;6388.CCB.001.051.C.525112;Belanja Rumah Tangga;Belanja Cleaning Service;;1;1;Selesai dilaporkan
4;22-Nov-24;546;A41;IKL;A41;IKL;KU.03.07/D.XII.5.3/456/2024;31-Oct-24;Usulan Pra-Dipa Pengadaan Jasa Pengangkutan Sampah Domestik Pra-Dipa Tahun 2025;PPK2;PPK Jasa Konstruksi dan Barang Persediaan;BJ.01.01/D.XII.9.2/2725/2025;21-Nov-24;Pengadaan Jasa Pengangkutan Sampah Domestik TA. 2025;Pengadaan Jasa Pengangkutan Sampah Domestik TA. 2025;204,000,000;0;0;B28;6388.CCB.001.051.E.525119;Belanja Penyedia Barang dan Jasa;Belanja Kesling dan K3;;1;1;Kaji Ulang PPK
5;25-Nov-24;548;A41;IKL;A41;IKL;KU.01.05/D.XII.5.3/448/2024;28-Oct-24;Pra Dipa Pengadaan Jasa Pengendalian Vektor dan Binatang Pembawa Penyakit Tahun 2025;PPK2;PPK Jasa Konstruksi dan Barang Persediaan;BJ.01.01/D.XII.9.2/2727/2024;22-Nov-24;Pengadaan Jasa Pengendalian Vektor dan Binatang Pembawa Penyakit TA. 2025;Pengadaan Jasa Pengendalian Vektor dan Binatang Pembawa Penyakit TA. 2025;;89,114,400;89,114,400;B28;6388.CCB.001.051.E.525119;Belanja Penyedia Barang dan Jasa;Belanja Kesling dan K3;;1;1;Selesai dilaporkan
6;25-Nov-24;549;A28;IRD;A28;IRD;YR.02.01/D.XII.1.10/312/2024;25-Oct-24;Penyampaian Kerangka Acuan Kerja (KAK) Pengadaan Jasa Sewa dan Evaluasi Alat Ukur Personal TLD Badge Tahun 2025 yang akan digunakan Sebagai Alat Proteksi Dosis Perorangan di Instalasi Radiodiagnostik Rumah Sakit Kanker Dharmais;PPK2;PPK Jasa Konstruksi dan Barang Persediaan;BJ.01.01/D.XII.9.2/2731/2024;22-Nov-24;Pengadaan Jasa Sewa & Evaluasi TLD Badge TA. 2025;Pengadaan Jasa Sewa & Evaluasi TLD Badge TA. 2025;;135,713,000;135,713,000;B35;6388.CCB.001.051.E.525119;Belanja Penyedia Barang dan Jasa;Belanja Administrasi Umum Lainnya;;1;1;Selesai dilaporkan
7;25-Nov-24;550;A41;IKL;A41;IKL;KU.03.07/D.XII.5.3/459/2024;4-Nov-24;Usulan Pra-Dipa Pengadaan Jasa Pengelolaan Limbah B3 Non Medis Tahun 2025;PPK2;PPK Jasa Konstruksi dan Barang Persediaan;BJ.01.01/D.XII.9.2/2730/2024;22-Nov-24;Pengadaan Jasa Pengelolaan Limbah B3 Non Medis TA. 2025;Pengadaan Jasa Pengelolaan Limbah B3 Non Medis TA. 2025;;24,641,127;23,754,000;B28;6388.CCB.001.051.E.525119;Belanja Penyedia Barang dan Jasa;Belanja Kesling dan K3;;1;1;Selesai dilaporkan
8;28-Nov-24;554;A39;IGZ;A39;IGZ;KN.01.03/D.XII.1.18/458/2024;21-Oct-24;Pemohonan Pengadaan Kebutuhan Bahan Makanan Basah, Makanan Kering Pasien, Susu Formula dan Usaha Catering Tahun 2025;PPK2;PPK Jasa Konstruksi dan Barang Persediaan;BJ.01.01/D.XII.9.2/2742/2024;26-Nov-24;Pengadaan Bahan Makanan Basah Pasien dan Usaha Catering TA. 2025;Pengadaan Makanan Basah Pasien dan Catering (Golongan Lauk Pauk) Usulan Instalasi Gizi PKN RS Kanker Dharmais DIPA BLU TA 2025;;2,241,780,000;2,241,780,000;B07;6388.CCB.001.051.A.525121;Pengadaan Makan Pasien;Belanja Makan Pasien;;1;1;Selesai dilaporkan
9;28-Nov-24;555;A39;IGZ;A39;IGZ;KN.01.03/D.XII.1.18/458/2024;21-Oct-24;Pemohonan Pengadaan Kebutuhan Bahan Makanan Basah, Makanan Kering Pasien, Susu Formula dan Usaha Catering Tahun 2025;PPK2;PPK Jasa Konstruksi dan Barang Persediaan;BJ.01.01/D.XII.9.2/2743/2024;26-Nov-24;Pengadaan Bahan Makanan Kering Pasien dan Usaha Catering TA. 2025;Pengadaan Bahan Makanan Kering Pasien dan Usaha Catering TA. 2025;;1,730,071,530;1,251,436,450;B07;6388.CCB.001.051.A.525121;Pengadaan Makan Pasien;Belanja Makan Pasien;;1;1;Selesai dilaporkan
10;2-Dec-24;560;A39;IGZ;A39;IGZ;KN.01.03/D.XII.1.18/468/2024;6-Nov-24;Permohonan Pengesahan Kerangka Acuan Kerja Pengadaan Gas LPG Tahun 2025;PPK2;PPK Jasa Konstruksi dan Barang Persediaan;BJ.01.01/D.XII.9.2/2751/2024;28-Nov-24;Pengadaan Kebutuhan Gas LPG TA. 2024;Pengadaan Kebutuhan Gas LPG TA. 2025;;556,000,000;556,000,000;B18;6388.CCB.001.051.C.525112;Belanja Rumah Tangga;Belanja Bahan Bakar Gas LPG 50 Kg;;1;1;Selesai dilaporkan
